Date,America,France,Britain,Italy,China,Germany
2016/4/15,-16.73707419,25.47095522,18.67532827,-31.13916647,-12.89892902,16.62888618
2016/4/18,-15.83587418,25.79728404,20.24509297,-30.93460702,-15.40639861,16.1345028
2016/4/19,-13.53337788,25.01716106,20.38336256,-31.36014429,-15.75531132,15.24830987
2016/4/20,-14.66186673,25.12334793,21.16395203,-30.91993895,-16.81503211,16.10953782
2016/4/21,-12.60107062,24.10160005,20.08177695,-30.67807731,-16.7131673,15.80893823
2016/4/22,-10.02931781,23.29597206,19.24079889,-30.7951549,-16.84749605,15.13519781
2016/4/25,-13.02810378,23.9596541,19.59059832,-30.38371987,-16.13333107,15.9949023
2016/4/26,-12.93990948,22.89189387,18.81311863,-29.39051686,-15.69657746,16.3219913
2016/4/27,-11.62851044,22.69953112,17.39544733,-29.4798184,-14.41526676,15.42861715
2016/4/28,-17.78193454,23.2885671,19.13907984,-28.47327484,-14.11118532,17.93874775
2016/4/29,-15.71957725,22.80505484,18.76894511,-28.74832095,-14.35282525,17.2467235
2016/5/2,-17.70138521,23.10854348,18.994272,-28.48061946,-13.74424283,17.82343202
2016/5/3,-17.22632641,22.67266191,19.01696071,-28.38477713,-13.43391971,17.35540064
2016/5/4,-15.53587498,21.62299069,19.5392075,-28.71191597,-13.165648,16.25124075
2016/5/5,-17.63207452,22.14364444,19.56820337,-27.83365013,-13.32051435,17.07439119
2016/5/6,-16.90043047,21.62690234,19.72430231,-28.0137733,-13.00098169,16.56398081
2016/5/9,-15.96676258,20.77345087,19.62415562,-27.96296393,-12.16250833,15.69462835
2016/5/10,-15.68800505,20.52119067,19.84366172,-27.7342756,-12.7735497,15.83097795
2016/5/11,-17.34558318,21.9671471,20.24945545,-28.33183067,-13.47857295,16.93938423
2016/5/12,-18.82458062,22.85895627,20.70683774,-28.93408795,-13.64987387,17.84274843
2016/5/13,-19.47340597,22.50269247,20.74642018,-28.4874203,-13.0857097,17.79742332
2016/5/16,-20.68310047,22.57585132,20.79330747,-28.41549003,-12.14556411,17.87499582
2016/5/17,-22.67258951,23.81293837,20.26697581,-27.58175024,-13.15895447,19.33338004
2016/5/18,-25.61696099,25.77082312,19.39772809,-26.97888294,-13.61755982,21.04485253
2016/5/19,-22.99300114,31.55538683,19.86083915,-24.11724279,-14.25294048,9.946958427
2016/5/20,-28.59477825,31.87118307,19.54369994,-24.45292096,-10.21111184,11.84392805
2016/5/23,-28.37809845,31.21527453,20.26925195,-24.08634173,-11.0366735,12.0165872
2016/5/24,-27.7025873,30.65344898,20.03174056,-24.20263951,-10.69016954,11.91020682
2016/5/25,-28.35908206,30.61036467,20.15503613,-23.77502197,-10.96722926,12.3359325
2016/5/26,-28.78119564,30.14896617,20.25001313,-23.49065889,-10.98380845,12.85668368
2016/5/27,-28.84096475,29.90415047,20.32576593,-22.87785313,-10.58087444,12.06977592
2016/5/31,-26.0007433,28.94242425,20.29709198,-22.94509631,-12.24801134,11.95433472
2016/6/1,-20.932237,27.79655874,18.86062826,-23.73289439,-12.00520295,10.01314734
2016/6/2,-19.65187778,27.75001163,18.02497034,-22.9890246,-13.66006301,10.52598342
2016/6/3,-19.3367897,26.92906336,17.71256979,-22.41198737,-12.85063867,9.95778259
2016/6/6,-12.51028048,25.08895482,15.82751591,-23.47682424,-13.12907229,8.199706293
2016/6/7,-11.30444683,23.60360315,13.93661963,-23.86131355,-9.012832466,6.638370066
2016/6/8,-12.73530252,23.75523079,14.24532352,-23.150977,-9.283868599,7.169593809
